# Forecast lines in lrae_navwar_2025-06 with a solicitation window through FY26: 103 of 148 included lines
# Read on 2026-09-21 against saved SAM.gov searches (retrieved 2026-09-17 to 2026-09-20), FPDS lookups (retrieved 2026-09-16 to 2026-09-20) and attribution examples. Nothing here is fetched live: a negative reading says the saved records hold nothing, not that nothing happened.
# Notice column: explicit joins first (PID or incumbent contract number in the notice text), then candidates marked ~: a shared program name or code that few lines carry, with the notice's own office compared to the line's. A candidate is a reviewer's call. 'related:' marks a notice for a different lot, family or generation of the same program: context, never this line's solicitation.
# Incumbent column: USAspending last-modified date; a * means only the first FPDS page was saved and later actions may exist.

| PID | title | office | sol | award | value as stated | notice | incumbent last action | award found | reading |
| N00039-25-RFPREQ-PMW-770-0048 | CSRR C&M DO #6 | pmw:770 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMW-770-0034 | Hull Penetrator 18 units | pmw:770 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-770-0022 | SCORPION LRIP | pmw:770 | FY25 Q3 | FY25 Q4 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMW-770-0011 | FSBS HPTE TT to SS Conversion (C) | pmw:770 | FY25 Q4 | FY26 Q4 | $100M - $250M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-770-0019 | SubHDR VA Block VI/CLB Block II/FMS procurement | pmw:770 | FY25 Q4 | FY26 Q4 | $250M - $1B | - | 2024-04-03* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; incumbent last acted 2024-04-03 |
| N00039-24-RFPREQ-PMW-770-0008 | LBUCS Receive Version 2 Development and Producti | pmw:770 | FY26 Q1 | FY26 Q4 | $50M - $100M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-790-0124 | EVERFOX PLA (STACC) (C) | pmw:790 | FY25 Q3 | FY25 Q3 | $7.5M - $50M | - | 2024-08-26* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2024-08-26 |
| N00039-25-RFPREQ-PMW-790-0153 | SYBASE (GCCS-J) (C) | pmw:790 | FY25 Q3 | FY25 Q4 | < $2M | Award Notice 2022-08-09 (N6133122F0141) | 2024-09-11* | - | incumbent action noticed: award notice posted 2022-08-09; no follow-on solicitation found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMW-790-0157 | evergreen FKNA Pure Storage (VSE) (C) | pmw:790 | FY25 Q3 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-26-RFPREQ-PMW-790-0022 | Program Management Support Services | pmw:790 | FY26 Q4 | FY27 Q1 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |

Readings: no public notice found in the saved SAM.gov searches as of 2026-09-20 93, candidate 7, solicited 1, awarded 1, incumbent action noticed 1
